id	label	RNA-path	meth-path	mirna-path
108d4b89-d1d5-4528-a040-c7e5696c8417	TCGA-UCS	/content/TCGA9/TCGA-UCS/108d4b89-d1d5-4528-a040-c7e5696c8417/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/108d4b89-d1d5-4528-a040-c7e5696c8417/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/108d4b89-d1d5-4528-a040-c7e5696c8417/mirna-seq.parquet
14213209-2217-4812-9a19-d9b2b6718467	TCGA-UCS	/content/TCGA9/TCGA-UCS/14213209-2217-4812-9a19-d9b2b6718467/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/14213209-2217-4812-9a19-d9b2b6718467/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/14213209-2217-4812-9a19-d9b2b6718467/mirna-seq.parquet
158fd4c2-68dc-4ca4-8130-d5589c80d825	TCGA-UCS	/content/TCGA9/TCGA-UCS/158fd4c2-68dc-4ca4-8130-d5589c80d825/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/158fd4c2-68dc-4ca4-8130-d5589c80d825/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/158fd4c2-68dc-4ca4-8130-d5589c80d825/mirna-seq.parquet
1791e250-70ac-439c-828b-15ba811935cc	TCGA-UCS	/content/TCGA9/TCGA-UCS/1791e250-70ac-439c-828b-15ba811935cc/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/1791e250-70ac-439c-828b-15ba811935cc/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/1791e250-70ac-439c-828b-15ba811935cc/mirna-seq.parquet
1d2937e8-6104-4330-b7dc-7bcd79dac927	TCGA-UCS	/content/TCGA9/TCGA-UCS/1d2937e8-6104-4330-b7dc-7bcd79dac927/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/1d2937e8-6104-4330-b7dc-7bcd79dac927/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/1d2937e8-6104-4330-b7dc-7bcd79dac927/mirna-seq.parquet
200f77a5-803c-4891-980b-5c3b08c91254	TCGA-UCS	/content/TCGA9/TCGA-UCS/200f77a5-803c-4891-980b-5c3b08c91254/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/200f77a5-803c-4891-980b-5c3b08c91254/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/200f77a5-803c-4891-980b-5c3b08c91254/mirna-seq.parquet
245e4254-dbc1-45bd-b5df-504d8c3822de	TCGA-UCS	/content/TCGA9/TCGA-UCS/245e4254-dbc1-45bd-b5df-504d8c3822de/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/245e4254-dbc1-45bd-b5df-504d8c3822de/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/245e4254-dbc1-45bd-b5df-504d8c3822de/mirna-seq.parquet
254f6921-82ac-4fe1-b1b4-ace94c420d05	TCGA-UCS	/content/TCGA9/TCGA-UCS/254f6921-82ac-4fe1-b1b4-ace94c420d05/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/254f6921-82ac-4fe1-b1b4-ace94c420d05/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/254f6921-82ac-4fe1-b1b4-ace94c420d05/mirna-seq.parquet
276dd6d1-a5ad-4b64-8536-916584805091	TCGA-UCS	/content/TCGA9/TCGA-UCS/276dd6d1-a5ad-4b64-8536-916584805091/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/276dd6d1-a5ad-4b64-8536-916584805091/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/276dd6d1-a5ad-4b64-8536-916584805091/mirna-seq.parquet
2aa77a19-efde-478a-a113-c0af75708b31	TCGA-UCS	/content/TCGA9/TCGA-UCS/2aa77a19-efde-478a-a113-c0af75708b31/RNA-seq.parquet	/content/TCGA9/TCGA-UCS/2aa77a19-efde-478a-a113-c0af75708b31/DNA-methylation.parquet	/content/TCGA9/TCGA-UCS/2aa77a19-efde-478a-a113-c0af75708b31/mirna-seq.parquet
